original_variable_name,renamed_variable,variable_description,derived_variable,input_variable,data_source,broad_learning_context
CNT,country_code,Standard 3-character country code.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CNTRYID,country_id,Numerical identifier for countries; complements country_code.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CNTSCHID,school_id,Unique identifier for schools in the dataset.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CNTSTUID,student_id,Unique identifier for students in the dataset.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CYC,assessment_cycle,"Identifies the PISA assessment cycle (e.g., 2022).",Not Applicable,Not Applicable,Not Applicable,Not Applicable
NatCen,national_center_code,6-character code for the national center coordinating the test.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
STRATUM,sampling_stratum,Sampling stratum used in PISA design for stratification.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SUBNATIO,subnational_region,Identifies subnational regions for analysis beyond national aggregates.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OECD,oecd_member,Binary indicator (1/0) for OECD membership.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ADMINMODE,administration_mode,"Mode of test administration (e.g., computer- or paper-based).",Not Applicable,Not Applicable,Not Applicable,Not Applicable
Option_ICTQ,ict_questionnaire_flag,Indicates whether the student completed the ICT questionnaire.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Option_WBQ,well_being_flag,Indicates whether the student completed the well-being questionnaire. (Note: Not administered in Thailand),Not Applicable,Not Applicable,Not Applicable,Not Applicable
Option_PQ,parent_questionnaire_flag,Indicates whether the student's parent completed the parent questionnaire. (Note: Not administered in Thailand),Not Applicable,Not Applicable,Not Applicable,Not Applicable
Option_TQ,teacher_questionnaire_flag,Indicates whether the teacher completed the teacher questionnaire. (Note: Not administered in Thailand),Not Applicable,Not Applicable,Not Applicable,Not Applicable
