variable,mean_norm_importance
st_total_class_periods_per_week,0.938742744
stdv_ict_resources,0.847577185
scdv_total_math_teachers,0.797881571
scdv_total_teachers,0.551081372
stdv_home_possessions,0.391941249
stdv_escs_index,0.380270824
icdv_ict_outside_class_self,0.202688702
stdv_curiosity_agreement,0.17578426
icdv_ict_regulated_use,0.170820556
stdv_math_self_efficacy_21st,0.166560613
icdv_ict_self_efficacy,0.165700515
stdv_work_for_pay,0.158351214
sc_num_data_projectors,0.149401242
scdv_proportion_master_teachers,0.146622946
stdv_exposure_formal_applied_math,0.13704518
stdv_math_persistence,0.136814168
stdv_perseverance_agreement_self,0.134421433
st_math_class_periods_per_week,0.132384636
scdv_proportion_math_teachers,0.130812245
stdv_career_info_seeking,0.127369935
