variable,mean_norm_importance
st_total_class_periods_per_week,1
scdv_total_math_teachers,0.837718795
scdv_total_teachers,0.638811692
sc_num_data_projectors,0.24022382
stdv_curiosity_agreement,0.22527193
icdv_ict_regulated_use,0.223230404
icdv_ict_self_efficacy,0.218551041
st_math_class_periods_per_week,0.214255096
stdv_math_self_efficacy_21st,0.20988371
stdv_exposure_formal_applied_math,0.185003179
sc_disadvantaged_homes,0.181695966
stdv_perseverance_agreement_self,0.171069464
stdv_math_disciplinary_climate,0.167556504
scdv_school_size,0.163031882
stdv_cognitive_activation_reasoning,0.149702132
stdv_math_persistence,0.144936317
stdv_career_info_seeking,0.139350331
st_rate_quality_math_instruction,0.139093886
stdv_student_teacher_relation,0.137332057
stdv_cognitive_activation_math_thinking,0.136606246
