framework_group,variable,topk_in_school,topk_out_school,best_rank_in_school,best_rank_out_school,max_imp_in_school,max_imp_out_school,peak_slice_in_school,peak_slice_out_school,shift_type
Global,icdv_ict_regulated_use,TRUE,FALSE,4,NA,0.299444777,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,sc_disadvantaged_homes,TRUE,FALSE,8,NA,0.205485959,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,sc_num_data_projectors,TRUE,FALSE,5,NA,0.281142241,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,scdv_proportion_master_teachers,TRUE,FALSE,14,NA,0.132895735,NA,Global_InSchool | InSchool | None | NA | NA | MATH,NA,InSchool-only (top-k)
Global,scdv_school_size,TRUE,FALSE,10,NA,0.189127896,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,scdv_total_math_teachers,TRUE,FALSE,2,NA,0.889561219,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,scdv_total_teachers,TRUE,FALSE,3,NA,0.757722085,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,st_math_class_periods_per_week,TRUE,FALSE,4,NA,0.270718274,NA,Global_InSchool | InSchool | None | NA | NA | MATH,NA,InSchool-only (top-k)
Global,st_rate_quality_math_instruction,TRUE,FALSE,13,NA,0.139093886,NA,Global_InSchool | InSchool | None | NA | NA | MATH,NA,InSchool-only (top-k)
Global,st_total_class_periods_per_week,TRUE,FALSE,1,NA,1,NA,Global_InSchool | InSchool | None | NA | NA | MATH,NA,InSchool-only (top-k)
Global,stdv_cognitive_activation_reasoning,TRUE,FALSE,15,NA,0.15825353,NA,Global_InSchool | InSchool | None | NA | NA | SCIE,NA,InSchool-only (top-k)
Global,stdv_exposure_formal_applied_math,TRUE,FALSE,9,NA,0.199908095,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,stdv_math_disciplinary_climate,TRUE,FALSE,11,NA,0.179439688,NA,Global_InSchool | InSchool | None | NA | NA | SCIE,NA,InSchool-only (top-k)
Global,stdv_math_persistence,TRUE,FALSE,12,NA,0.154541277,NA,Global_InSchool | InSchool | None | NA | NA | READ,NA,InSchool-only (top-k)
Global,stdv_math_self_efficacy_21st,TRUE,FALSE,5,NA,0.270523147,NA,Global_InSchool | InSchool | None | NA | NA | SCIE,NA,InSchool-only (top-k)
Global,icdv_ict_outside_class_self,FALSE,TRUE,NA,3,NA,0.458724535,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | MATH,OutOfSchool-only (top-k)
Global,icdv_ict_use_weekday,FALSE,TRUE,NA,6,NA,0.277183857,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | MATH,OutOfSchool-only (top-k)
Global,icdv_ict_use_weekend,FALSE,TRUE,NA,10,NA,0.21592684,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | SCIE,OutOfSchool-only (top-k)
Global,sc_community_type,FALSE,TRUE,NA,7,NA,0.274776137,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | SCIE,OutOfSchool-only (top-k)
Global,st_overall_life_satisfaction,FALSE,TRUE,NA,12,NA,0.177198738,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | READ,OutOfSchool-only (top-k)
Global,st_total_homework_time_all_subjects,FALSE,TRUE,NA,15,NA,0.183685865,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | MATH,OutOfSchool-only (top-k)
Global,stdv_emotional_control_agreement,FALSE,TRUE,NA,12,NA,0.20892412,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | MATH,OutOfSchool-only (top-k)
Global,stdv_escs_index,FALSE,TRUE,NA,2,NA,0.748323074,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | SCIE,OutOfSchool-only (top-k)
Global,stdv_home_possessions,FALSE,TRUE,NA,2,NA,0.68836389,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | MATH,OutOfSchool-only (top-k)
Global,stdv_ict_resources,FALSE,TRUE,NA,1,NA,1,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | MATH,OutOfSchool-only (top-k)
Global,stdv_parent_highest_occup,FALSE,TRUE,NA,7,NA,0.254928071,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | SCIE,OutOfSchool-only (top-k)
Global,stdv_self_learning_efficacy,FALSE,TRUE,NA,11,NA,0.244128775,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | SCIE,OutOfSchool-only (top-k)
Global,stdv_work_for_pay,FALSE,TRUE,NA,4,NA,0.441357258,NA,Global_OutOfSchool | OutOfSchool | None | NA | NA | SCIE,OutOfSchool-only (top-k)
MLFTAU,ic_interest_learn_digital_resources,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | hedonic_motivation | MATH,NA,InSchool-only (top-k)
MLFTAU,icdv_ict_access_quality,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,icdv_ict_enquiry_learning_self,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | technology_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,icdv_ict_regulated_use,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | MATH,NA,InSchool-only (top-k)
