variable,n_topk_slices,frameworks,contexts,granularities,max_importance,best_rank_any
stdv_curiosity_agreement,41,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,Construct; Domain; None,1,1
stdv_emotional_control_agreement,34,Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,Construct; Domain; None,1,1
icdv_ict_access_quality,33,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain,1,1
icdv_ict_self_efficacy,32,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,Construct; Domain; None,1,1
icdv_ict_online_practices,31,MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,Construct; Domain,1,1
stdv_perseverance_agreement_self,30,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,Construct; Domain; None,0.863639743,2
sc_num_data_projectors,29,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,1,1
icdv_ict_outside_class_self,24,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,Construct; Domain; None,1,1
icdv_ict_regulated_use,24,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,1,1
stdv_escs_index,24,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,Construct; Domain; None,1,1
st_overall_life_satisfaction,22,Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,Construct; Domain; None,1,1
stdv_ict_resources,21,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,Construct; Domain; None,1,1
stdv_home_possessions,21,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,Construct; Domain; None,0.958508473,2
stdv_career_info_seeking,20,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,Construct; Domain; None,1,1
stdv_exposure_formal_applied_math,20,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,1,1
stdv_cognitive_activation_reasoning,19,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain; None,1,1
icdv_ict_use_weekday,19,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,Construct; Domain; None,0.982865136,2
icdv_ict_use_weekend,18,Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,Construct; Domain; None,1,1
