variable,pisa_topk,mlftau_topk,pisa_contexts,mlftau_contexts,pisa_best_rank,mlftau_best_rank,pisa_max_imp,mlftau_max_imp,pisa_peak_slice,mlftau_peak_slice,sensitivity_type
sc_math_programme_commercial_programmes,FALSE,TRUE,,InSchool,NA,7,NA,0.141145194,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,MLFTAU-only (top-k)
sc_math_programme_local_standards,FALSE,TRUE,,InSchool,NA,8,NA,0.140382012,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | MATH,MLFTAU-only (top-k)
sc_math_programme_regional_assessments,FALSE,TRUE,,InSchool,NA,2,NA,0.768758599,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | task_attributes | READ,MLFTAU-only (top-k)
sc_math_programme_regional_standards,FALSE,TRUE,,InSchool,NA,2,NA,0.948484464,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | task_attributes | MATH,MLFTAU-only (top-k)
sc_parents_volunteering_activities,FALSE,TRUE,,InSchool,NA,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_family | facilitating_conditions | MATH,MLFTAU-only (top-k)
scdv_negative_school_climate,FALSE,TRUE,,InSchool,NA,15,NA,0.059892926,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | SCIE,MLFTAU-only (top-k)
scdv_proportion_admin_staff,FALSE,TRUE,,InSchool,NA,13,NA,0.068528159,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | MATH,MLFTAU-only (top-k)
scdv_staff_shortage,FALSE,TRUE,,InSchool,NA,12,NA,0.255994204,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | MATH,MLFTAU-only (top-k)
scdv_teacher_school_climate_factors,FALSE,TRUE,,InSchool,NA,6,NA,0.300585943,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | social_influence | MATH,MLFTAU-only (top-k)
scdv_total_non_teaching_staff,FALSE,TRUE,,InSchool,NA,13,NA,0.063401171,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | READ,MLFTAU-only (top-k)
st_avoid_mistakes,FALSE,TRUE,,InSchool; OutOfSchool,NA,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | effort_expectancy | MATH,MLFTAU-only (top-k)
st_envision_friends_points_of_view,FALSE,TRUE,,InSchool; OutOfSchool,NA,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | user_attributes | READ,MLFTAU-only (top-k)
st_language_skill_hard_to_improve,FALSE,TRUE,,InSchool; OutOfSchool,NA,3,NA,0.807935059,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | performance_expectancy | SCIE,MLFTAU-only (top-k)
st_math_skill_hard_to_improve,FALSE,TRUE,,InSchool,NA,2,NA,0.955796717,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | performance_expectancy | READ,MLFTAU-only (top-k)
st_notifications_off_sleep,FALSE,TRUE,,OutOfSchool,NA,2,NA,0.698030133,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | habit | MATH,MLFTAU-only (top-k)
st_reason_school_missed_safety,FALSE,TRUE,,InSchool,NA,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | environment_attributes | MATH,MLFTAU-only (top-k)
st_reason_school_missed_suspended,FALSE,TRUE,,InSchool,NA,2,NA,0.220606121,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | organisation_attributes | READ,MLFTAU-only (top-k)
st_reason_school_missed_transport,FALSE,TRUE,,OutOfSchool,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | organisation_society | environment_attributes | MATH,MLFTAU-only (top-k)
